Sale-Manufacturing-Total,278,5,273,0,0,0,0,1,1,3,21,49,61,49,30,28,13,15,4,2,1
Possession-SubTotal,297,8,289,0,0,2,2,1,3,2,25,44,69,44,40,22,24,10,6,3,2
Gambling,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
Offenses Against the Family and Children,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
Driving Under the Influence,58,0,58,0,0,0,0,0,0,0,4,8,9,12,2,5,6,4,4,2,2
Liquor Laws,3,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Drunkenness,8,0,8,0,0,0,0,0,0,0,1,0,0,1,1,3,1,0,1,0,0
Disorderly Conduct,228,73,155,0,6,30,36,17,11,9,21,25,37,17,25,16,6,4,3,1,0
Vagrancy,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
All Other Offenses (except traffic),1578,197,1381,0,8,38,46,43,52,56,128,242,277,217,169,138,98,60,37,8,7
Suspicion,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
Curfew and Loitering Law Violations,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
Runaways,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Violent Crime Index,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~
Property Crime Index,285,53,232,0,3,14,17,12,7,17,30,44,47,31,22,21,15,15,6,0,1
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
-------------------------,,,,,,,,,,,,,,,,,,,,,
Note: Detail may not add to totals due to rounding,,,,,,,,,,,,,,,,,,,,,
- = The FBI stopped reporting Runaways offense as of 2010.,,,,,,,,,,,,,,,,,,,,,
"~ = Due to the use of different definitions of rape across reporting agencies, data on rape arrests after 2012 are not shown in the table or graph, or included in any crime totals (all offenses or violent crime index). Because of this, the totals presented in this tool are not comparable to prior years. For more information on the definition changes, see the FBI's New Rape Definition Frequently Asked Questions -1 = Agency did not report data",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Recommended citation: Snyder, Howard N.; Cooper, Alexia D.; and Mulako-Wangota, Joseph. Bureau of Justice Statistics. (Insert table title). Generated using the Arrest Data Analysis Tool at www.bjs.gov. (Insert date). ",,,,,,,,,,,,,,,,,,,,,
