Drug Abuse Violations -Total,491,9,482,0,0,0,0,0,4,5,25,93,119,81,60,43,29,15,12,2,3
Sale-Manufacturing-Total,35,2,33,0,0,0,0,0,1,1,3,11,5,4,4,2,0,3,1,0,0
Possession-SubTotal,452,7,445,0,0,0,0,0,3,4,20,81,114,77,55,41,29,12,11,2,3
Gambling,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
Offenses Against the Family and Children,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
Driving Under the Influence,18,0,18,0,0,0,0,0,0,0,1,3,2,2,4,3,0,1,2,0,0
Liquor Laws,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
Drunkenness,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
Disorderly Conduct,137,24,113,0,2,5,7,4,8,5,10,27,25,17,15,8,4,1,3,3,0
Vagrancy,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
All Other Offenses (except traffic),1424,37,1387,0,1,8,9,7,8,13,63,191,289,257,182,129,90,88,57,16,25
Suspicion,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
Curfew and Loitering Law Violations,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1,- 1
Runaways,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Violent Crime Index,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~
Property Crime Index,525,77,448,0,1,12,13,15,24,25,59,73,91,70,52,40,27,25,9,1,1
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
-------------------------,,,,,,,,,,,,,,,,,,,,,
Note: Detail may not add to totals due to rounding,,,,,,,,,,,,,,,,,,,,,
- = The FBI stopped reporting Runaways offense as of 2010.,,,,,,,,,,,,,,,,,,,,,
"~ = Due to the use of different definitions of rape across reporting agencies, data on rape arrests after 2012 are not shown in the table or graph, or included in any crime totals (all offenses or violent crime index). Because of this, the totals presented in this tool are not comparable to prior years. For more information on the definition changes, see the FBI's New Rape Definition Frequently Asked Questions -1 = Agency did not report data",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Recommended citation: Snyder, Howard N.; Cooper, Alexia D.; and Mulako-Wangota, Joseph. Bureau of Justice Statistics. (Insert table title). Generated using the Arrest Data Analysis Tool at www.bjs.gov. (Insert date). ",,,,,,,,,,,,,,,,,,,,,
